@RELATION comb2_new2

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL

@DATA
Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Year,DISTRICT
30,42,4,29,0,27,13,38
10,6,6,0,2,3,6,39
16,23,0,0,0,0,7,39
20,18,3,0,0,0,8,39
23,27,6,15,5,32,9,39
17,23,3,18,0,42,10,39
24,27,4,13,3,76,11,39
23,33,7,31,0,127,12,39
51,51,10,92,0,191,13,39
15,18,10,18,4,36,1,40
14,17,6,19,4,52,2,40
19,14,12,14,2,56,3,40
21,10,3,13,4,42,4,40
11,15,7,14,1,43,5,40
24,10,7,18,4,46,6,40
31,17,5,31,2,51,7,40
34,13,4,15,3,62,8,40
25,12,9,6,2,60,9,40
31,7,8,18,0,51,10,40
30,11,14,10,0,36,11,40
34,31,7,24,3,40,12,40
56,39,11,48,2,63,13,40
14,3,2,9,0,28,8,41
12,6,2,4,0,43,9,41
17,8,6,5,1,18,10,41
8,6,4,6,3,14,11,41
21,13,0,3,0,25,12,41
21,8,1,13,1,31,13,41
10,10,8,11,0,27,1,42
12,10,4,5,0,20,2,42
13,4,3,7,0,11,3,42
14,5,10,10,0,10,4,42
19,5,3,20,0,12,5,42
23,11,7,18,0,27,6,42
26,27,6,34,0,16,7,42
18,14,2,22,0,24,8,42
27,13,3,16,1,6,9,42
20,18,5,4,0,16,10,42
16,17,3,12,0,24,11,42
23,14,3,10,0,38,12,42
34,31,7,43,0,34,13,42
16,125,12,95,0,236,1,43
27,124,23,65,0,285,2,43
36,95,17,75,0,284,3,43
48,101,8,78,0,371,4,43
26,89,11,61,3,339,5,43
53,90,9,114,1,405,6,43
31,65,19,105,3,515,7,43
45,84,17,108,0,516,8,43
47,69,17,64,1,546,9,43
47,86,12,81,0,615,10,43
70,108,15,105,0,709,11,43
70,76,13,72,0,668,12,43
100,155,16,166,1,863,13,43
34,87,43,124,0,235,1,44
44,89,42,115,1,250,2,44
50,60,42,114,0,274,3,44
43,67,30,98,0,276,4,44
52,61,31,110,0,297,5,44
81,68,36,111,0,314,6,44
73,65,43,141,1,391,7,44
88,91,38,134,0,429,8,44
101,128,35,139,0,516,9,44
105,138,42,122,0,588,10,44
99,143,53,136,0,556,11,44
129,154,47,135,0,655,12,44
316,253,42,288,0,707,13,44
90,59,10,112,1,151,1,45
74,50,10,92,1,85,2,45
53,51,3,89,2,100,3,45
20,51,7,92,4,86,4,45
29,29,7,83,1,56,5,45
27,36,5,79,3,93,6,45
39,42,4,55,1,100,7,45
42,45,8,66,1,85,8,45
40,49,3,43,0,143,9,45
61,53,8,47,1,151,10,45
55,95,6,59,2,190,11,45
56,87,4,49,3,237,12,45
117,105,13,108,0,205,13,45
81,94,3,219,5,124,1,46
51,88,6,188,4,160,2,46
50,66,3,175,10,187,3,46
50,63,3,164,5,163,4,46
45,39,3,121,0,212,5,46
37,40,5,114,2,169,6,46
43,28,8,112,1,194,7,46
52,45,10,169,0,181,8,46
55,84,9,130,1,289,9,46
48,72,9,129,2,267,10,46
60,88,10,158,1,351,11,46
69,84,7,185,2,313,12,46
66,102,1,208,0,289,13,46
13,14,13,71,0,45,1,47
24,16,8,83,0,66,2,47
16,15,17,72,0,63,3,47
14,15,9,95,0,69,4,47
19,20,13,86,0,72,5,47
12,21,7,85,0,74,6,47
19,24,9,78,0,103,7,47
20,21,14,82,0,116,8,47
31,29,14,96,0,150,9,47
34,33,18,71,0,194,10,47
21,34,27,36,0,201,11,47
21,35,20,59,0,237,12,47
55,25,21,190,0,274,13,47
48,103,24,77,0,209,1,48
59,79,27,29,0,227,2,48
41,68,30,55,0,228,3,48
44,91,16,52,0,295,4,48
46,58,35,44,0,220,5,48
35,66,16,40,0,274,6,48
62,83,30,41,1,360,7,48
74,75,24,39,0,371,8,48
82,131,35,39,0,437,9,48
83,152,33,38,0,437,10,48
69,139,29,85,0,478,11,48
108,168,32,79,0,567,12,48
164,201,34,156,0,574,13,48
42,223,5,126,3,312,1,49
46,164,4,134,6,339,2,49
42,112,6,111,0,286,3,49
44,118,11,121,6,342,4,49
39,102,14,87,0,293,5,49
40,76,9,81,0,221,6,49
48,47,10,80,1,329,7,49
42,58,13,77,0,370,8,49
52,87,7,97,0,518,9,49
48,130,3,74,1,593,10,49
52,74,16,90,0,558,11,49
59,70,10,98,0,609,12,49
101,107,8,135,0,652,13,49
35,34,13,53,0,153,1,50
24,21,13,34,0,142,2,50
27,28,14,50,0,164,3,50
41,25,23,48,0,190,4,50
30,20,12,67,0,199,5,50
29,27,16,63,0,287,6,50
32,33,18,76,0,307,7,50
48,28,12,74,0,306,8,50
37,36,11,83,0,353,9,50
41,34,18,58,0,354,10,50
55,25,17,54,0,446,11,50
67,35,16,31,0,546,12,50
100,71,18,63,0,516,13,50
36,103,2,164,6,157,1,51
38,83,7,151,3,225,2,51
42,49,4,152,0,198,3,51
47,84,4,141,3,228,4,51
41,58,5,105,0,166,5,51
39,53,5,103,0,260,6,51
28,47,2,87,0,204,7,51
33,52,3,98,0,224,8,51
37,93,5,138,0,270,9,51
31,80,3,113,0,285,10,51
40,99,6,114,0,298,11,51
43,77,5,90,1,304,12,51
63,98,2,117,0,326,13,51
67,169,7,112,5,384,1,52
73,139,7,121,1,330,2,52
78,164,6,99,3,379,3,52
