@RELATION combined

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,63,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207}


@data
35,66,19,27,32,123,163
29,42,24,21,40,128,163
45,42,22,30,38,86,163
40,37,25,27,29,107,163
44,47,15,18,31,150,163
82,184,18,97,42,290,163
10,18,24,33,0,117,164
15,21,28,31,4,96,164
16,18,17,35,10,80,164
16,31,12,18,9,127,164
25,9,19,31,6,139,164
23,26,17,19,0,158,164
21,31,7,19,0,157,164
23,27,19,25,9,214,164
33,26,15,27,14,208,164
25,65,13,24,17,261,164
36,62,14,37,18,248,164
44,88,12,39,23,312,164
61,97,17,118,31,319,164
21,8,20,42,13,122,165
18,12,14,39,37,115,165
9,8,17,32,35,92,165
11,7,14,17,18,104,165
13,10,11,16,20,86,165
15,9,16,14,9,58,165
14,21,19,10,14,87,165
22,15,20,13,42,115,165
20,15,13,20,20,78,165
36,30,12,27,30,117,165
32,19,12,20,26,117,165
20,17,10,19,14,135,165
17,38,22,44,16,109,165
21,8,11,22,29,67,166
19,9,11,10,12,57,166
17,5,10,7,13,34,166
7,6,14,2,18,31,166
14,6,17,2,17,35,166
32,7,13,17,12,53,166
19,18,12,14,15,95,166
38,23,18,21,15,73,166
35,30,11,33,49,97,166
29,26,17,27,20,88,166
37,28,15,15,13,91,166
34,40,17,27,0,114,166
38,73,9,69,34,121,166
16,8,9,19,0,105,167
7,4,6,11,0,98,167
15,2,8,14,0,125,167
18,9,9,13,0,136,167
19,9,6,9,0,115,167
25,6,9,14,0,149,167
14,10,14,26,0,178,167
14,16,13,14,0,150,167
24,16,13,20,0,187,167
28,20,11,15,0,112,167
20,17,8,18,0,119,167
18,20,6,15,0,127,167
26,72,4,39,11,146,167
44,10,18,28,2,97,168
37,8,11,25,0,115,168
27,14,14,18,1,173,168
31,12,15,23,0,242,168
50,19,14,39,2,236,168
51,23,13,35,1,214,168
47,13,13,28,0,169,168
50,23,17,31,21,124,168
48,40,17,32,21,225,168
52,20,21,29,22,231,168
62,18,18,25,26,166,168
63,41,23,50,28,204,168
72,218,12,181,21,213,168
31,14,10,28,8,68,169
15,14,7,20,14,88,169
23,7,12,23,18,92,169
21,5,15,28,20,120,169
24,9,5,24,15,99,169
34,15,5,10,37,116,169
21,13,11,11,16,99,169
41,24,12,11,27,72,169
43,47,5,20,29,101,169
36,26,13,9,24,79,169
29,30,7,22,20,68,169
25,30,11,20,27,110,169
25,56,8,70,26,137,169
11,8,8,19,0,23,170
16,9,3,22,0,19,170
10,9,4,12,0,27,170
20,11,8,18,0,36,170
15,9,6,13,0,20,170
17,16,10,32,0,41,170
10,22,14,17,0,47,170
21,20,16,17,0,73,170
10,19,10,13,0,58,170
28,36,7,25,0,86,170
26,38,11,22,0,85,170
14,18,10,26,0,78,170
28,53,9,81,48,84,170
34,3,7,12,5,112,170
35,4,8,24,7,124,170
44,18,13,18,14,153,170
29,13,7,6,6,114,170
16,12,5,11,3,181,170
28,19,5,12,5,150,170
28,23,7,9,3,119,170
50,15,5,15,7,168,170
68,33,10,46,7,198,170
26,17,5,21,0,47,171
15,17,9,21,34,54,171
